iter	Passed	Remaining
0	179	179632
1	197	98722
2	215	71764
3	234	58278
4	240	47932
5	257	42740
6	275	39097
7	293	36414
8	311	34310
9	328	32554
10	348	31360
11	365	30063
12	382	29018
13	400	28203
14	418	27495
15	437	26909
16	456	26402
17	475	25920
18	493	25490
19	512	25127
20	531	24782
21	552	24580
22	564	23999
23	582	23676
24	602	23478
25	619	23195
26	636	22938
27	654	22710
28	672	22500
29	690	22316
30	707	22127
31	726	21973
32	745	21839
33	762	21675
34	782	21570
35	801	21456
36	820	21351
37	841	21293
38	860	21213
39	880	21141
40	900	21056
41	919	20976
42	952	21195
43	971	21117
44	990	21011
45	1008	20905
46	1026	20805
47	1044	20719
48	1064	20661
49	1082	20567
50	1100	20472
51	1119	20404
52	1138	20334
53	1158	20303
54	1177	20223
55	1195	20157
56	1216	20117
57	1233	20035
58	1251	19962
59	1271	19914
60	1288	19841
61	1307	19781
62	1324	19702
63	1343	19647
64	1361	19581
65	1378	19502
66	1395	19431
67	1413	19377
68	1431	19317
69	1450	19274
70	1469	19230
71	1488	19189
72	1508	19157
73	1527	19115
74	1547	19084
75	1568	19063
76	1590	19068
77	1610	19038
78	1630	19004
79	1651	18996
80	1671	18962
81	1691	18933
82	1710	18901
83	1733	18899
84	1752	18863
85	1770	18814
86	1791	18797
87	1811	18777
88	1832	18753
89	1853	18736
90	1872	18702
91	1892	18679
92	1913	18661
93	1936	18662
94	1959	18664
95	1978	18630
96	1997	18598
97	2017	18572
98	2037	18539
99	2057	18516
100	2077	18489
101	2097	18470
102	2117	18443
103	2136	18409
104	2155	18374
105	2175	18351
106	2196	18328
107	2214	18292
108	2233	18256
109	2251	18217
110	2270	18186
111	2289	18155
112	2308	18121
113	2326	18083
114	2344	18038
115	2360	17989
116	2378	17949
117	2396	17910
118	2415	17880
119	2432	17840
120	2451	17806
121	2469	17772
122	2487	17738
123	2506	17706
124	2524	17669
125	2541	17627
126	2558	17588
127	2576	17550
128	2596	17532
129	2613	17493
130	2631	17459
131	2649	17419
132	2666	17380
133	2682	17339
134	2701	17312
135	2719	17279
